"m_name","recalculated_avg_rating"
"House of Cards","8.5999960684096717"
"Not the Nine O'Clock News","7.9000000000000000"
"What's That About?","7.4000000000000000"
"Aunty Donna: Best Content Ever!!1!","8.2000000000000000"
"Kurt Olssons julkalender","6.3000000000000000"
"My Little Pony: Equestria Girls Specials","6.7968918918918919"
"Ian Hislop: Trains That Changed the World","7.2125000000000000"
"Kodiak","7.2137931034482759"
"1 Girl 5 Gays","7.8000000000000000"
"Booh!","8.5500000000000000"
"Istorik","6.7666666666666667"
"Power Rangers Operation Overdrive","5.4991145218417946"
"Breaking News","6.2000000000000000"
"Shroud for a Nightingale","7.4875000000000000"
"Los simuladores","9.1999332220367279"
"Miss Marple: Nemesis","7.8011111111111111"
"Brandy: Special Delivery","5.9842105263157895"
"Shonen ninja Kaze no Fujimaru","8.4024390243902439"
"TIME: The Kalief Browder Story","8.4000000000000000"
"The Inca: Masters of the Clouds","7.5000000000000000"
"Mister Brau","6.2968085106382979"
"Grazhdanskiy brak","6.3000000000000000"
"The Hathaways","7.1000000000000000"
"Divided States","7.0000000000000000"
"Haetbit ssodajida","6.3000000000000000"
"Contrato de amor","8.2562500000000000"
"A Friend of the Family","7.3001682085786375"
"Zdrady","4.2400000000000000"
"The Johnny Cash Show","8.6000000000000000"
"Jimmy Durante Presents the Lennon Sisters","7.5000000000000000"
"The URL with Phred Show","7.7000000000000000"
"A Bit of a Do","7.0822784810126582"
"Ernest et Célestine, la collection","7.8034482758620690"
"Halo: Nightfall","5.5012108631724615"
"Keppeki danshi! Aoyama-kun","6.5000000000000000"
"Talk About","8.1000000000000000"
"Das letzte Wort","7.1000000000000000"
"Pa heeft een lief","4.8444444444444444"
"Telerop 2009 - Es ist noch was zu retten","7.2000000000000000"
"Subtext","8.6000000000000000"
"Blood Sweat and Heels","6.1212121212121212"
"Ten","4.9285714285714286"
"Crossfire","5.7970894717930291"
"How America Works","8.8000000000000000"
"Mesa de noticias","7.9000000000000000"
"The Andy Williams Show","7.9009523809523810"
"What's with Andy?","7.6004955659885237"
"Bednyye Abramovichi","7.2000000000000000"
"Cronkite Remembers","8.4000000000000000"
"Gukyeongi","7.0948306595365419"
"An Egg's Guide to Minecraft","8.9000000000000000"
"Danger Mouse","7.0941908713692946"
"Aprender a volar","7.8125000000000000"
"07 zglos sie","7.2861671469740634"
"Brotherhood of the Rose","6.7000000000000000"
"Kaninlandet","8.0428571428571429"
"Making a Murderer","8.4999806815547485"
"Destination One","7.2000000000000000"
"Baking with the Reys","8.9000000000000000"
"Sivi dom","8.7990731204943357"
"Natsume yûjinchô","8.0983274990276157"
"McClain's Law","7.5967391304347826"
"Söndagsöppet","5.5000000000000000"
"Edha","4.9009985734664765"
"Wild On...","6.2000000000000000"
"Noggin the Nog","8.4756097560975610"
"Mata Hari","5.9886578449905482"
"New Zealand from Above","8.4000000000000000"
"Queen Sono","6.0965763195435093"
"Encantadia","6.7004608294930876"
"Inu x Boku SS","6.9958494742667405"
"86-60-86","5.8000000000000000"
"V tihom omute...","7.0000000000000000"
"O Dia Depois da Eleição","4.6870967741935484"
"Comic Splash: The web-series","8.8000000000000000"
"Riddler","6.1612903225806452"
"Get a Life","8.0999010554089710"
"Isekai Shoukan wa Nidome desu","5.3968468468468468"
"Schwarz greift ein","6.3000000000000000"
"Batman: The Animated Series","8.9999621100492569"
"The Collector","6.6016826923076923"
"Chosen","7.2985154850268748"
"Second Time Around","7.0625000000000000"
"Lia","7.1000000000000000"
"Kodenavn Hunter","6.7873563218390805"
"Double Timing Wife","5.8636363636363636"
"Cheverísimo","6.3000000000000000"
"Hollywood Babylon","7.5172413793103448"
"Nepsyt toimistossa","6.8333333333333333"
"UP UP","7.3636363636363636"
"Star Wars Vehicle Flythroughs","6.2000000000000000"
"Absolutni debiutanci","7.1970797720797721"
"Osama Bin Laden: The Inside Story","7.4076923076923077"
"Club de Cuervos","8.2000000000000000"
"El Señor de la Querencia","8.4000000000000000"
"Ingen Retur","8.0000000000000000"
"The Genius of Photography","8.5000000000000000"
"Peter Pan and the Pirates","7.1926229508196721"
"Married: The First Year","6.4000000000000000"
"La usurpadora","7.7008669430833019"
